intensification,mature,decay,intensification 2,mature 2,decay 2
2008-02-16 10:00:00,2008-02-17 22:00:00,2008-02-18 20:00:00,2008-02-20 03:00:00,2008-02-23 12:00:00,2008-02-24 20:00:00
2008-02-17 21:00:00,2008-02-18 19:00:00,2008-02-20 02:00:00,2008-02-23 11:00:00,2008-02-24 19:00:00,2008-02-27 10:00:00
