incipient,intensification,mature,decay
1985-04-29 14:00:00,1985-04-30 11:00:00,1985-05-02 06:00:00,1985-05-03 01:00:00
1985-04-30 10:00:00,1985-05-02 05:00:00,1985-05-03 00:00:00,1985-05-04 13:00:00
