decay,intensification,decay 2,intensification 2
2019-09-02 15:00:00,2019-09-02 20:00:00,2019-09-03 05:00:00,2019-09-03 13:00:00
2019-09-02 19:00:00,2019-09-03 04:00:00,2019-09-03 12:00:00,2019-09-03 20:00:00
