incipient,intensification,mature,decay
2007-04-03 04:00:00,2007-04-03 22:00:00,2007-04-10 03:00:00,2007-04-11 10:00:00
2007-04-03 21:00:00,2007-04-10 02:00:00,2007-04-11 09:00:00,2007-04-13 14:00:00
