incipient,intensification,mature,decay,residual
1993-08-29 08:00:00,1993-09-01 03:00:00,1993-09-04 11:00:00,1993-09-05 20:00:00,1993-09-08 05:00:00
1993-09-01 02:00:00,1993-09-04 10:00:00,1993-09-05 19:00:00,1993-09-08 04:00:00,1993-09-09 22:00:00
