intensification,mature,decay,residual
1984-05-23 17:00:00,1984-05-24 01:00:00,1984-05-24 06:00:00,1984-05-24 16:00:00
1984-05-24 00:00:00,1984-05-24 05:00:00,1984-05-24 15:00:00,1984-05-25 06:00:00
