intensification,mature,decay,incipient
2007-06-26 00:00:00,2007-06-26 22:00:00,2007-06-27 07:00:00,2007-06-27 19:00:00
2007-06-26 21:00:00,2007-06-27 06:00:00,2007-06-27 18:00:00,2007-06-30 04:00:00
