intensification,mature,decay,residual
1986-04-09 07:00:00,1986-04-09 19:00:00,1986-04-10 00:00:00,1986-04-10 07:00:00
1986-04-09 18:00:00,1986-04-09 23:00:00,1986-04-10 06:00:00,1986-04-11 01:00:00
