intensification,mature,decay,incipient
1986-01-28 17:00:00,1986-01-29 16:00:00,1986-01-30 02:00:00,1986-01-30 17:00:00
1986-01-29 15:00:00,1986-01-30 01:00:00,1986-01-30 16:00:00,1986-02-01 03:00:00
