intensification,mature,decay,intensification 2,mature 2,decay 2
1995-06-05 05:00:00,1995-06-07 07:00:00,1995-06-08 18:00:00,1995-06-11 11:00:00,1995-06-14 08:00:00,1995-06-15 08:00:00
1995-06-07 06:00:00,1995-06-08 17:00:00,1995-06-11 10:00:00,1995-06-14 07:00:00,1995-06-15 07:00:00,1995-06-16 22:00:00
