intensification,mature,decay,residual
2011-03-01 11:00:00,2011-03-05 02:00:00,2011-03-06 07:00:00,2011-03-08 10:00:00
2011-03-05 01:00:00,2011-03-06 06:00:00,2011-03-08 09:00:00,2011-03-11 09:00:00
