intensification,mature,incipient,intensification 2,mature 2,decay
1982-10-31 15:00:00,1982-11-02 10:00:00,1982-11-02 22:00:00,1982-11-03 07:00:00,1982-11-04 13:00:00,1982-11-05 02:00:00
1982-11-02 09:00:00,1982-11-02 21:00:00,1982-11-03 06:00:00,1982-11-04 12:00:00,1982-11-05 01:00:00,1982-11-06 01:00:00
