incipient,intensification,mature,decay
1990-05-02 04:00:00,1990-05-02 09:00:00,1990-05-05 01:00:00,1990-05-06 04:00:00
1990-05-02 08:00:00,1990-05-05 00:00:00,1990-05-06 03:00:00,1990-05-08 09:00:00
