intensification,incipient,decay,incipient 2,decay 2
1983-12-12 12:00:00,1983-12-14 17:00:00,1983-12-15 10:00:00,1983-12-18 03:00:00,1983-12-18 22:00:00
1983-12-14 16:00:00,1983-12-15 09:00:00,1983-12-18 02:00:00,1983-12-18 21:00:00,1983-12-20 03:00:00
