intensification,mature,incipient,intensification 2,mature 2,decay
1999-03-06 16:00:00,1999-03-07 13:00:00,1999-03-08 00:00:00,1999-03-08 09:00:00,1999-03-09 23:00:00,1999-03-10 14:00:00
1999-03-07 12:00:00,1999-03-07 23:00:00,1999-03-08 08:00:00,1999-03-09 22:00:00,1999-03-10 13:00:00,1999-03-11 19:00:00
