incipient,intensification,mature,decay
1999-03-30 22:00:00,1999-03-31 04:00:00,1999-04-03 04:00:00,1999-04-04 15:00:00
1999-03-31 03:00:00,1999-04-03 03:00:00,1999-04-04 14:00:00,1999-04-07 20:00:00
