incipient,decay,incipient 2,decay 2
1986-05-30 15:00:00,1986-05-31 03:00:00,1986-05-31 19:00:00,1986-06-01 03:00:00
1986-05-31 02:00:00,1986-05-31 18:00:00,1986-06-01 02:00:00,1986-06-01 17:00:00
