incipient,intensification,mature,decay
2009-05-15 18:00:00,2009-05-16 10:00:00,2009-05-19 00:00:00,2009-05-19 22:00:00
2009-05-16 09:00:00,2009-05-18 23:00:00,2009-05-19 21:00:00,2009-05-21 19:00:00
