incipient,intensification,mature,decay
1984-11-12 18:00:00,1984-11-12 23:00:00,1984-11-14 09:00:00,1984-11-14 20:00:00
1984-11-12 22:00:00,1984-11-14 08:00:00,1984-11-14 19:00:00,1984-11-15 07:00:00
