intensification,mature,decay,residual
1980-09-04 23:00:00,1980-09-05 16:00:00,1980-09-05 23:00:00,1980-09-06 06:00:00
1980-09-05 15:00:00,1980-09-05 22:00:00,1980-09-06 05:00:00,1980-09-07 21:00:00
