intensification,incipient,intensification 2,mature,decay
2015-09-06 01:00:00,2015-09-07 00:00:00,2015-09-07 05:00:00,2015-09-08 06:00:00,2015-09-08 15:00:00
2015-09-06 23:00:00,2015-09-07 04:00:00,2015-09-08 05:00:00,2015-09-08 14:00:00,2015-09-09 06:00:00
