incipient,intensification,decay,residual
2005-07-30 10:00:00,2005-07-30 15:00:00,2005-07-31 03:00:00,2005-07-31 08:00:00
2005-07-30 14:00:00,2005-07-30 23:00:00,2005-07-31 07:00:00,2005-07-31 13:00:00
