intensification,mature,decay,incipient
2011-03-25 07:00:00,2011-03-27 14:00:00,2011-03-28 11:00:00,2011-03-30 03:00:00
2011-03-27 13:00:00,2011-03-28 10:00:00,2011-03-30 02:00:00,2011-03-31 23:00:00
