intensification,mature,decay,residual
2005-09-08 20:00:00,2005-09-11 09:00:00,2005-09-14 00:00:00,2005-09-18 12:00:00
2005-09-11 08:00:00,2005-09-13 23:00:00,2005-09-18 11:00:00,2005-09-21 12:00:00
