intensification,mature,decay,residual
2013-08-29 14:00:00,2013-08-31 10:00:00,2013-09-01 09:00:00,2013-09-03 04:00:00
2013-08-31 09:00:00,2013-09-01 08:00:00,2013-09-03 03:00:00,2013-09-06 01:00:00
