intensification,mature,incipient,intensification 2,mature 2,decay
2001-11-04 16:00:00,2001-11-05 11:00:00,2001-11-05 18:00:00,2001-11-05 23:00:00,2001-11-06 12:00:00,2001-11-06 21:00:00
2001-11-05 10:00:00,2001-11-05 17:00:00,2001-11-05 22:00:00,2001-11-06 11:00:00,2001-11-06 20:00:00,2001-11-07 19:00:00
