incipient,intensification,mature,decay
2010-11-22 16:00:00,2010-11-23 06:00:00,2010-11-28 14:00:00,2010-11-29 10:00:00
2010-11-23 05:00:00,2010-11-28 13:00:00,2010-11-29 09:00:00,2010-11-30 18:00:00
