incipient,intensification,mature,decay
2014-10-30 15:00:00,2014-11-01 08:00:00,2014-11-01 20:00:00,2014-11-02 03:00:00
2014-11-01 07:00:00,2014-11-01 19:00:00,2014-11-02 02:00:00,2014-11-02 15:00:00
