intensification,mature,decay,residual
1998-11-24 09:00:00,1998-11-26 14:00:00,1998-11-27 11:00:00,1998-11-28 23:00:00
1998-11-26 13:00:00,1998-11-27 10:00:00,1998-11-28 22:00:00,1998-11-30 23:00:00
