intensification,mature,decay,incipient
1996-12-28 06:00:00,1996-12-29 21:00:00,1996-12-30 08:00:00,1996-12-30 22:00:00
1996-12-29 20:00:00,1996-12-30 07:00:00,1996-12-30 21:00:00,1997-01-01 15:00:00
