intensification,mature,incipient,intensification 2,mature 2,decay,residual
2012-05-10 16:00:00,2012-05-13 04:00:00,2012-05-14 10:00:00,2012-05-15 17:00:00,2012-05-18 15:00:00,2012-05-20 06:00:00,2012-05-23 08:00:00
2012-05-13 03:00:00,2012-05-14 09:00:00,2012-05-15 16:00:00,2012-05-18 14:00:00,2012-05-20 05:00:00,2012-05-23 07:00:00,2012-05-25 07:00:00
