incipient,intensification,mature,decay
1993-11-14 03:00:00,1993-11-15 00:00:00,1993-11-15 14:00:00,1993-11-16 01:00:00
1993-11-14 23:00:00,1993-11-15 13:00:00,1993-11-16 00:00:00,1993-11-17 00:00:00
