intensification,mature,decay,intensification 2,mature 2,decay 2
1989-06-03 01:00:00,1989-06-03 17:00:00,1989-06-04 01:00:00,1989-06-04 10:00:00,1989-06-05 06:00:00,1989-06-05 15:00:00
1989-06-03 16:00:00,1989-06-04 00:00:00,1989-06-04 09:00:00,1989-06-05 05:00:00,1989-06-05 14:00:00,1989-06-06 10:00:00
