intensification,mature,decay,residual
1989-10-06 09:00:00,1989-10-08 10:00:00,1989-10-09 06:00:00,1989-10-10 09:00:00
1989-10-08 09:00:00,1989-10-09 05:00:00,1989-10-10 08:00:00,1989-10-13 05:00:00
