incipient,intensification,mature,decay
2019-07-22 01:00:00,2019-07-24 03:00:00,2019-07-27 20:00:00,2019-07-29 11:00:00
2019-07-24 02:00:00,2019-07-27 19:00:00,2019-07-29 10:00:00,2019-08-01 21:00:00
