intensification,mature,decay,incipient
1998-01-01 23:00:00,1998-01-03 17:00:00,1998-01-04 06:00:00,1998-01-04 14:00:00
1998-01-03 16:00:00,1998-01-04 05:00:00,1998-01-04 13:00:00,1998-01-07 09:00:00
