intensification,mature,decay,incipient
2002-05-10 03:00:00,2002-05-15 02:00:00,2002-05-17 06:00:00,2002-05-21 12:00:00
2002-05-15 01:00:00,2002-05-17 05:00:00,2002-05-21 11:00:00,2002-05-24 17:00:00
