intensification,decay,intensification 2,residual
2003-07-16 20:00:00,2003-07-17 11:00:00,2003-07-17 19:00:00,2003-07-19 01:00:00
2003-07-17 10:00:00,2003-07-17 18:00:00,2003-07-19 00:00:00,2003-07-19 06:00:00
