intensification,mature,decay,residual
1983-05-05 11:00:00,1983-05-07 10:00:00,1983-05-09 01:00:00,1983-05-11 14:00:00
1983-05-07 09:00:00,1983-05-09 00:00:00,1983-05-11 13:00:00,1983-05-13 10:00:00
