incipient,intensification,mature,decay
1998-10-28 18:00:00,1998-10-29 19:00:00,1998-10-30 04:00:00,1998-10-30 11:00:00
1998-10-29 18:00:00,1998-10-30 03:00:00,1998-10-30 10:00:00,1998-10-31 02:00:00
