intensification,mature,decay,intensification 2,mature 2,decay 2
2005-11-13 20:00:00,2005-11-16 03:00:00,2005-11-17 00:00:00,2005-11-18 07:00:00,2005-11-20 06:00:00,2005-11-21 01:00:00
2005-11-16 02:00:00,2005-11-16 23:00:00,2005-11-18 06:00:00,2005-11-20 05:00:00,2005-11-21 00:00:00,2005-11-22 15:00:00
