intensification,mature,decay,residual
1991-12-25 01:00:00,1991-12-27 04:00:00,1991-12-28 11:00:00,1991-12-31 05:00:00
1991-12-27 03:00:00,1991-12-28 10:00:00,1991-12-31 04:00:00,1991-12-31 19:00:00
