intensification,mature,decay,incipient,intensification 2,mature 2,decay 2
2009-12-13 07:00:00,2009-12-15 13:00:00,2009-12-17 00:00:00,2009-12-19 02:00:00,2009-12-21 06:00:00,2009-12-24 05:00:00,2009-12-25 18:00:00
2009-12-15 12:00:00,2009-12-16 23:00:00,2009-12-19 01:00:00,2009-12-21 05:00:00,2009-12-24 04:00:00,2009-12-25 17:00:00,2009-12-28 20:00:00
