incipient,intensification,mature,decay
1990-01-02 11:00:00,1990-01-03 09:00:00,1990-01-06 06:00:00,1990-01-07 07:00:00
1990-01-03 08:00:00,1990-01-06 05:00:00,1990-01-07 06:00:00,1990-01-09 09:00:00
