incipient,intensification,mature,decay,residual
1996-04-03 01:00:00,1996-04-03 10:00:00,1996-04-04 07:00:00,1996-04-04 16:00:00,1996-04-05 11:00:00
1996-04-03 09:00:00,1996-04-04 06:00:00,1996-04-04 15:00:00,1996-04-05 10:00:00,1996-04-06 14:00:00
