intensification,decay,intensification 2,mature,decay 2
1987-01-17 00:00:00,1987-01-17 12:00:00,1987-01-18 04:00:00,1987-01-19 00:00:00,1987-01-19 13:00:00
1987-01-17 11:00:00,1987-01-18 03:00:00,1987-01-18 23:00:00,1987-01-19 12:00:00,1987-01-20 18:00:00
