intensification,decay,intensification 2,decay 2
2016-12-28 18:00:00,2016-12-29 07:00:00,2016-12-29 14:00:00,2016-12-29 20:00:00
2016-12-29 06:00:00,2016-12-29 13:00:00,2016-12-29 19:00:00,2016-12-30 01:00:00
