incipient,intensification,mature,decay,residual
1997-07-12 01:00:00,1997-07-13 19:00:00,1997-07-15 20:00:00,1997-07-16 15:00:00,1997-07-18 00:00:00
1997-07-13 18:00:00,1997-07-15 19:00:00,1997-07-16 14:00:00,1997-07-17 23:00:00,1997-07-20 20:00:00
