intensification,mature,decay,intensification 2,mature 2,decay 2
2014-11-21 10:00:00,2014-11-22 22:00:00,2014-11-24 02:00:00,2014-11-26 04:00:00,2014-11-28 04:00:00,2014-11-29 00:00:00
2014-11-22 21:00:00,2014-11-24 01:00:00,2014-11-26 03:00:00,2014-11-28 03:00:00,2014-11-28 23:00:00,2014-11-30 16:00:00
