intensification,mature,decay,incipient
2006-08-08 10:00:00,2006-08-10 23:00:00,2006-08-12 05:00:00,2006-08-14 14:00:00
2006-08-10 22:00:00,2006-08-12 04:00:00,2006-08-14 13:00:00,2006-08-17 09:00:00
