intensification,mature,decay,residual
1980-08-16 10:00:00,1980-08-18 14:00:00,1980-08-19 14:00:00,1980-08-21 11:00:00
1980-08-18 13:00:00,1980-08-19 13:00:00,1980-08-21 10:00:00,1980-08-24 06:00:00
