intensification,mature,decay,residual
1985-05-07 06:00:00,1985-05-08 01:00:00,1985-05-08 12:00:00,1985-05-09 03:00:00
1985-05-08 00:00:00,1985-05-08 11:00:00,1985-05-09 02:00:00,1985-05-11 20:00:00
