intensification,mature,decay,residual
1993-04-01 06:00:00,1993-04-02 01:00:00,1993-04-03 07:00:00,1993-04-06 01:00:00
1993-04-02 00:00:00,1993-04-03 06:00:00,1993-04-06 00:00:00,1993-04-06 15:00:00
