intensification,mature,decay,residual
2011-03-24 18:00:00,2011-03-28 08:00:00,2011-03-29 18:00:00,2011-04-01 15:00:00
2011-03-28 07:00:00,2011-03-29 17:00:00,2011-04-01 14:00:00,2011-04-05 10:00:00
