intensification,mature,decay,intensification 2,mature 2,decay 2
1992-08-12 09:00:00,1992-08-13 20:00:00,1992-08-14 19:00:00,1992-08-16 04:00:00,1992-08-19 10:00:00,1992-08-20 10:00:00
1992-08-13 19:00:00,1992-08-14 18:00:00,1992-08-16 03:00:00,1992-08-19 09:00:00,1992-08-20 09:00:00,1992-08-22 00:00:00
