incipient,intensification,mature,decay
2005-08-21 14:00:00,2005-08-22 02:00:00,2005-08-22 19:00:00,2005-08-23 04:00:00
2005-08-22 01:00:00,2005-08-22 18:00:00,2005-08-23 03:00:00,2005-08-23 22:00:00
