incipient,intensification,mature,decay
2003-04-26 07:00:00,2003-04-26 14:00:00,2003-04-27 19:00:00,2003-04-28 05:00:00
2003-04-26 13:00:00,2003-04-27 18:00:00,2003-04-28 04:00:00,2003-04-28 19:00:00
