intensification,mature,decay,intensification 2,mature 2,decay 2
2005-11-18 07:00:00,2005-11-20 12:00:00,2005-11-21 17:00:00,2005-11-23 17:00:00,2005-11-26 13:00:00,2005-11-27 15:00:00
2005-11-20 11:00:00,2005-11-21 16:00:00,2005-11-23 16:00:00,2005-11-26 12:00:00,2005-11-27 14:00:00,2005-11-29 14:00:00
