incipient,intensification,mature,decay
2010-10-30 10:00:00,2010-10-30 16:00:00,2010-10-31 17:00:00,2010-11-01 13:00:00
2010-10-30 15:00:00,2010-10-31 16:00:00,2010-11-01 12:00:00,2010-11-03 12:00:00
