intensification,decay,intensification 2,decay 2
2004-09-26 09:00:00,2004-09-26 22:00:00,2004-09-27 03:00:00,2004-09-27 15:00:00
2004-09-26 17:00:00,2004-09-27 02:00:00,2004-09-27 10:00:00,2004-09-27 23:00:00
