intensification,mature,decay,incipient
2005-06-16 12:00:00,2005-06-19 02:00:00,2005-06-20 03:00:00,2005-06-22 06:00:00
2005-06-19 01:00:00,2005-06-20 02:00:00,2005-06-22 05:00:00,2005-06-24 17:00:00
