intensification,mature,decay,intensification 2,mature 2,decay 2
1985-04-02 14:00:00,1985-04-04 09:00:00,1985-04-05 02:00:00,1985-04-06 03:00:00,1985-04-07 16:00:00,1985-04-08 08:00:00
1985-04-04 08:00:00,1985-04-05 01:00:00,1985-04-06 02:00:00,1985-04-07 15:00:00,1985-04-08 07:00:00,1985-04-09 15:00:00
