intensification,mature,decay,incipient
2007-09-23 01:00:00,2007-09-24 22:00:00,2007-09-25 18:00:00,2007-09-27 09:00:00
2007-09-24 21:00:00,2007-09-25 17:00:00,2007-09-27 08:00:00,2007-09-30 07:00:00
