incipient,intensification,mature,decay
2001-08-12 21:00:00,2001-08-13 10:00:00,2001-08-14 00:00:00,2001-08-14 07:00:00
2001-08-13 09:00:00,2001-08-13 23:00:00,2001-08-14 06:00:00,2001-08-14 18:00:00
